id,thumb_kind,captured_at,camera_type,sequence,lat,lon,width,height,face,yaw_deg,pitch_deg,hfov_deg,split
1453033161857110,2048,1715125560000,perspective,pmvwATqOMXybgHURkdi49W,14.630156229705,121.00587390573,3840,2160,,,,,train
2160857114293250,2048,1714959406000,perspective,do2nNhw3DqlEYIrgCOT6JU,14.627128,120.979078,3840,2160,,,,,train
411487670782732,2048,1646451434293,fisheye,c7J8Zw1LTxNH6jSi5RtnmG,14.640652946185,120.99413297853,3840,2160,,,,,train
1389224268105694,2048,1607086780000,equirectangular,GOdzklqdl0jWEbPPVObUPq,14.615483641478,120.95998529618,1024,1024,forward,0.0,-10.0,80.0,train
511763417143264,2048,1646457919296,fisheye,TXngiyjkoUBecqJD6wLKGO,14.62309330646,120.9890488829,3840,2160,,,,,train
159437133140827,2048,1646786036795,fisheye,PUj06XwtfWde8GQMvnzhqV,14.569316741129,121.00221717255,3840,2160,,,,,train
469494964141328,2048,1575503054523,fisheye,j8d7sooujaq0a6d2wjzo6z,14.600088155914,121.01670078199,3840,2160,,,,,train
3681556842110182,2048,1714954799000,perspective,HNQ5RC7fBUY2OzFudPkpow,14.614339889183,120.99330562927,3840,2160,,,,,train
995733981970011,2048,1712579338000,spherical,Yz2VrSZfQ1tB4s87Uygkde,14.590970465261,121.00968394974,1024,1024,forward,98.304203697447,-10.0,80.0,train
550154619611156,2048,1631781740000,spherical,DGQt1WlaqUi9ywT5YxB3OJ,14.600756051355,120.96569237262,1024,1024,left,-90.0,-10.0,80.0,train
1012156050044045,2048,1712546342000,perspective,eshqyCY5PIjngmN6XVOHAw,14.583143042663,120.99789035378,3840,2160,,,,,train
1498021481093221,2048,1712459625800,perspective,2x6pXGnCzJU1I0iLEr4yvQ,14.573536271652,120.99409716985,3840,2160,,,,,train
1048729990311793,2048,1714872677000,perspective,Z5BkyUX98TioC4PvQWSn2j,14.60491704102,120.9826914644,3840,2160,,,,,train
270755708581430,2048,1646534459799,fisheye,vJnifLY0q6k2bOhD4HCo5t,14.610321757863,120.97522935447,3840,2160,,,,,train
