id,thumb_kind,captured_at,camera_type,sequence,lat,lon,width,height,face,yaw_deg,pitch_deg,hfov_deg,split
1048274270352012,2048,1712387240200,perspective,XUP3hlknjWVNYorGwa5Avx,14.557162482245,120.98362198405,3840,2160,,,,,train
162806036129159,2048,1646532375291,fisheye,IgWSUHEKV0eZlN1TwG6ynr,14.556829997486,120.98443584157,3840,2160,,,,,train
2439813999548407,2048,1712387187000,perspective,clo42mIG0SxDwVBgFi1kvt,14.557094638341,120.98364443086,3840,2160,,,,,train
2439144589627655,2048,1712387022000,perspective,UTxLK8JRQwOiCH6p5nWB2F,14.556304551172,120.98435005581,3840,2160,,,,,train
969327708218364,2048,1712387061000,perspective,UmXyVDhP3F0Als1BxJIbEC,14.55664869972,120.98428403268,3840,2160,,,,,train
1194198074450063,2048,1647416317292,fisheye,FAT7JtXsM9fCuYVh1Ke6bk,14.55700095837,120.98806724685,3840,2160,,,,,train
1151331495668440,2048,1646561260000,spherical,Huaz5pUTjfN1vP2MDEen9F,14.55863729428,120.9852410693,1024,1024,forward,0.0,-10.0,80.0,train
151364767338509,2048,1647445173000,spherical,vy73uFMobw1fIqBY5KUNxe,14.557823764186,120.98784987734,1024,1024,right,90.0,-10.0,80.0,train
1156204008845337,2048,1712387446000,perspective,1dX5MZpERsJK0zauwIYrie,14.558223485452,120.9848487308,3840,2160,,,,,train
1356424448187119,2048,1646535426292,fisheye,9brPEzunBhd2OV4wGUktoX,14.557909330867,120.98794418129,3840,2160,,,,,train
1319548701781756,2048,1629382480000,spherical,KvHCr0QtPc5oJEn6NamIkl,14.557544444444,120.98770555556,1024,1024,left,-90.0,-10.0,80.0,train
1146822626442394,2048,1712387959000,perspective,jFSgBWHOpXvkzRTc8uCdQ3,14.55726064767,120.99050247468,3840,2160,,,,,train
109601914970197,2048,1646529230796,fisheye,0Qb8geoUWtGvYXd6RkAlfa,14.557736383277,120.99048284859,3840,2160,,,,,train
554724082279425,2048,1632217239000,spherical,Fs6IPhcCrpAYnKEHfyO5lv,14.557179263516,120.99067053749,1024,1024,forward,0.0,-10.0,80.0,train
510476934076506,2048,1646624938792,fisheye,CqSMPb2IUREnzi6ZvxW9jl,14.556661848901,120.99376990586,3840,2160,,,,,train
1745038969360702,2048,1712419409000,spherical,z3IW1bYasFZJSkuDLA48nX,14.559507012746,120.99715935871,1024,1024,left,252.46826140567,-10.0,80.0,train
501937668316890,2048,1646530257795,fisheye,eVrRfbc547JaBYMi2kKHqG,14.557311032542,121.00177125633,3840,2160,,,,,train
890101429551136,2048,1712392211600,perspective,EGtTdsSP92i5bgLqlue6Za,14.56052328228,120.99851493637,3840,2160,,,,,train
341580179030865,2048,1712482011000,spherical,OAxhKHFNkutCvGU5f2ijgd,14.556709682052,121.0024084609,1024,1024,right,255.29962144368,-10.0,80.0,train
971763444159978,2048,1712453211800,perspective,YxLhActTz1fmu3j84aKHdg,14.556371158912,121.00251186607,3840,2160,,,,,train
509682933984583,2048,1646531265801,fisheye,hBuNCnZeiYPTpgcyQAI9Jf,14.556777479316,121.00698826131,3840,2160,,,,,train
444250184878387,2048,1712209851000,perspective,IlM1KBiwUoFa4O0JERY9XN,14.557433,121.006728,3840,2160,,,,,train
